ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
416397;1;14.02.2019;03.01.2019;85;0;1;4;03.01.2019;;2;;31.10.2019;Razlog predcasnega zakljucka : odpoved;;11.11.2019;14.02.2019;1;4
416403;1;14.02.2019;10.01.2019;85;0;1;4;10.01.2019;;2;;31.05.2020;Razlog predcasnega zakljucka : odpoved;;09.06.2020;14.02.2019;1;4
416455;1;14.02.2019;01.01.2019;190;0;1;4;01.01.2019;;2;;31.03.2020;Razlog predcasnega zakljucka : odpoved;;15.04.2020;14.02.2019;1;4
416463;1;15.02.2019;01.02.2019;890,6;1;1;4;01.02.2019;;2;;;;0;30.07.2019;15.02.2019;1;4
416466;5;15.02.2019;01.02.2019;257,1;1;0;;01.02.2019;;2;;;;;30.07.2019;15.02.2019;1;4
416477;1;15.02.2019;04.01.2019;150;0;1;4;04.01.2019;;2;;30.04.2021;Razlog predčasnega zaključka : odpoved;;17.05.2021;15.02.2019;1;4
416479;1;15.02.2019;07.01.2019;190;0;1;4;07.01.2019;31.03.2019;1;3;14.02.2019;Razlog predčasnega zaključka : odpoved;;30.07.2019;15.02.2019;1;4
416483;1;15.02.2019;07.01.2019;125;0;1;4;07.01.2019;;2;;;;;30.07.2019;15.02.2019;1;4
416486;2;15.02.2019;31.12.2018;1830;1;1;4;01.01.2019;28.02.2021;1;26;28.02.2021;DDV VRAČUNAN V POGODBENI ZNESEK;0;01.03.2021;15.02.2019;2;4
416499;1;15.02.2019;31.08.2018;260;0;1;4;01.09.2018;15.03.2019;1;7;15.03.2019;;0;30.07.2019;15.02.2019;1;4
416502;1;15.02.2019;28.01.2019;728,36;0;1;4;01.02.2019;;2;;;Mesečna indeksacija cen, 25% popust pri najemnini do 30.06.2019;;15.02.2019;15.02.2019;1;5
416524;1;15.02.2019;20.11.2018;2710,18;0;1;4;01.01.2019;31.12.2023;1;60;;;0;30.07.2019;15.02.2019;2;4
416530;1;15.02.2019;14.12.2018;149,8;0;1;4;15.01.2019;;2;;;Letna HICP indeksacija;0;30.07.2019;15.02.2019;1;4
416531;1;15.02.2019;01.01.2019;45,75;0;1;4;01.01.2019;30.06.2019;1;6;30.06.2019;;0;30.07.2019;15.02.2019;1;4
416543;1;15.02.2019;13.01.2019;160;1;0;;13.01.2019;31.12.2019;1;12;30.07.2019;Razlog predcasnega zakljucka : najemnik si je poiskal drugo bivališče;0;08.08.2019;15.02.2019;1;4
