ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Interna oznaka oddanih prostorov;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta oddanih prostorov;Opremljenost oddanih prostorov;Mikrolokacija oddanih prostorov;Izložba;Nakupovalni center;Površina oddanih prostorov;Površina oddanih prostorov enaka delu stavbe;Pogodbena najemnina posameznih oddanih prostorov;Opombe o oddanih prostorih;Leto izgradnje stavbe;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina dela stavbe;Prostori dela stavbe;Uporabna površina oddanih prostorov;Gostinski vrt;Vključenost gostinskega vrta v najemnino;Površina gostinskega vrta
485094;1738;DRAVLJE;LJUBLJANA;2425;107;3280;LJUBLJANA;TRG KOMANDANTA STANETA;5;;107;2;0;;;;58,16;;;;1970;1263001 - Šola, vrtec;pritličje;;62,5;55,5; poslovni prostor;;;;
512918;2679;GRADIŠČE II;LJUBLJANA;517;48;;LJUBLJANA;TRŽAŠKA CESTA;2;;48;5;1;2;;;17;;;;1873;1220301 - Poslovni prostori;pritličje;;14,3;14,3; poslovni prostor;17;;;
484022;1483;KANDIJA;NOVO MESTO;1232;1;DELAVNICA;NOVO MESTO;KANDIJSKA CESTA;12;;;6;0;2;;;112,3;;;;1890;1220301 - Poslovni prostori;klet;;112,3;112,3; poslovni prostor;112,3;;;
509525;1410;MIRNA;MIRNA;908;12;;MIRNA;ROJE;3;;2;2;0;;;;20,47;;;;1964;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;;25;15,9; bivalni prostor | klet | odprta terasa, balkon, loža;;;;
497445;1141;RIFNIK;ŠENTJUR;196;1;;ŠENTJUR;POD RESEVNO;6;;;11;0;;;;80;;;;2001;21 - Skladišče;pritličje;;259,6;259,6; proizvodni in skladiščni prostor;80;;;
498014;1737;TABOR;LJUBLJANA;230;63;;LJUBLJANA;TRDINOVA ULICA;9;;63;3;0;;;;125;;;;1980;16 - Garažno parkirno mesto;nadstropje;;2997,8;1462,5; garažni parkirni prostor;;;;
521032;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;4753;1;;LJUBLJANA;JURČKOVA CESTA;234;;;3;1;;;;600;;;;2000;21 - Skladišče;pritličje;;5779,4;5779,4; proizvodni in skladiščni prostor;600;;;
504711;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;7643;573;C3;LJUBLJANA;BARJANSKA CESTA;58;;573;5;0;3;;;329,3;;;;2005;9 - Poslovni del stavbe;nadstropje;;329,3;329,3; poslovni prostor;329,3;;;
508487;906;ČRNA;ČRNA NA KOROŠKEM;105;2;2;ČRNA NA KOROŠKEM;RUDARJEVO;7;;2;2;0;;;;70,3;;;;1959;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;;70,3;53,2; bivalni prostor | klet | zaprta terasa, balkon, loža;;;;
509322;1855;HRASTNIK MESTO;HRASTNIK;554;3;;HRASTNIK;NASELJE ALEŠA KAPLE;9;A;3;10;0;;;;28,3;;;;1986;10 - Trgovski del stavbe;pritličje;;28,3;28,3; lokal, prodajalna;28,3;;;
521023;2378;VRHPOLJE;VIPAVA;52;1;;DUPLJE;DUPLJE;40;;;2;1;;;;56,99;;;;1911;1 - Stanovanje v enostanovanjski stavbi;nadstropje;;293,1;84,3; bivalni prostor | garaža | klet | shramba, sušilnica, pralnica;56,99;;;
483607;1871;TRBOVLJE;TRBOVLJE;2489;4;;TRBOVLJE;ŽABJEK;1;;4;2;0;;;;50,3;;;;1900;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;3;50,3;50,3; bivalni prostor;50,3;;;
500549;1737;TABOR;LJUBLJANA;994;133;;;;;;;3;0;;;;14,3;;;;2004;1242003 - Pokrito parkirišče;klet;;14,3;14,3; garažni parkirni prostor;;;;
483259;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;1242003 - Pokrito parkirišče;pritličje;;17279;5729,6; garažni parkirni prostor;;;;
500446;1074;SPODNJA HUDINJA;CELJE;2630;19;2 SOBI + KAB;CELJE;MILČINSKEGA ULICA;13;;19;2;0;;;;72,18;;;;1984;2 - Stanovanje;nadstropje;;71,9;62,9; bivalni prostor | klet | odprta terasa, balkon, loža;;0;;
497384;2636;BEŽIGRAD;LJUBLJANA;1301;1;;;;;;;14;0;;;;9,5;;;1.647,00 je najemnina za vse 3 stavbe, najemnina je enotna. Najemnino za posamezno stavbo sem izračunala za potrebe aplikacije ETN in sicer v odstotku glede na kvadraturo, čeprav je pogodbena cena enotna za vse 3 objekte - torej za celoten predmet najema;1962;1242001 - Samostoječa garaža, vrstna garaža;pritličje;;9,5;9,5; garaža;;;;
485284;2304;NOVA GORICA;NOVA GORICA;3037;507;;NOVA GORICA;DELPINOVA ULICA;18;B;;3;1;;;;10;;;;2011;1242002 - garaža v garažni hiši;klet;;10;10; garaža;10;;;
485553;2636;BEŽIGRAD;LJUBLJANA;2780;721;15-071-091;LJUBLJANA;DUNAJSKA CESTA;50;;960;9;0;1;;;12,5;;;;1974;1230104 - Prodajalna;pritličje;;1320,9;0; lokal, prodajalna | lokal, prodajalna | lokal, prodajalna;;1;0;10
485727;2636;BEŽIGRAD;LJUBLJANA;3626;447;;LJUBLJANA;KRŽIČEVA ULICA;3;;;3;0;;;;12,5;;;;1996;1242003 - Pokrito parkirišče;klet;;12,5;12,5; garažni parkirni prostor;12,5;;;
500701;1737;TABOR;LJUBLJANA;189;1;;LJUBLJANA;RESLJEVA CESTA;27;;1;2;1;;;;97,7;;;;1954;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;;100,4;85,8; bivalni prostor | klet | odprta terasa, balkon, loža;;;;
517493;1727;POLJANSKO PREDMESTJE;LJUBLJANA;808;15;8.nadstropje;LJUBLJANA;ZEMLJEMERSKA ULICA;12;;15;5;1;3;;;28,8;;;;1975;9 - Poslovni del stavbe;nadstropje;;320,5;320,5; poslovni prostor;;;;
520453;2304;NOVA GORICA;NOVA GORICA;806;52;;Nova Gorica;Cankarjeva ulica;58;;52;2;0;;;;46,25;;;;1975;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;mansarda;;46,6;40,1; bivalni prostor | klet | odprta terasa, balkon, loža;;;;
495078;1726;ŠENTPETER;LJUBLJANA;1327;5;;;;;;1;3;0;;;;12;;;;2010;16 - Garažno parkirno mesto;pritličje;;17279;5729,6; garažni parkirni prostor;;;;
498029;1737;TABOR;LJUBLJANA;230;63;;LJUBLJANA;TRDINOVA ULICA;9;;63;3;0;;;;125;;;;1980;16 - Garažno parkirno mesto;nadstropje;;2997,8;1462,5; garažni parkirni prostor;;;;
